Date,Open,High,Low,Close,Volume,Award Amount,Company Name,Delta % Close - Open,Delta % High - Low
2024-05-14,20.95,22.07,20.93,21.44,57894354.0,0,PALANTIR TECHNOLOGIES INC.,2.33890214797137,5.446727185857624
2024-05-13,20.6,21.19,20.6,20.94,37524809.0,0,PALANTIR TECHNOLOGIES INC.,1.650485436893203,2.864077669902912
2024-05-10,21.27,21.37,20.5,20.6,59845413.0,0,PALANTIR TECHNOLOGIES INC.,-3.1499764927127325,4.243902439024396
2024-05-09,21.49,21.58,20.94,21.14,54101937.0,0,PALANTIR TECHNOLOGIES INC.,-1.6286644951139968,3.056351480420234
2024-05-08,21.58,21.73,21.06,21.56,67582882.0,0,PALANTIR TECHNOLOGIES INC.,-0.092678405931416,3.1813865147198563
2024-05-07,21.99,22.7,21.35,21.4,161061622.0,0,PALANTIR TECHNOLOGIES INC.,-2.6830377444292854,6.323185011709591
2024-05-06,24.37,25.355,24.03,25.21,175936565.0,0,PALANTIR TECHNOLOGIES INC.,3.4468608945424695,5.513940907199331
2024-05-03,23.48,23.64,22.91,23.33,55976409.0,0,PALANTIR TECHNOLOGIES INC.,-0.6388415672913208,3.1863814927979064
2024-05-02,22.6,22.715,22.1,22.55,30396133.0,0,PALANTIR TECHNOLOGIES INC.,-0.22123893805310046,2.782805429864246
2024-05-01,21.93,22.83,21.63,22.12,34812852.0,0,PALANTIR TECHNOLOGIES INC.,0.8663930688554551,5.5478502080443794
2024-04-30,22.77,22.87,21.95,21.97,30511879.0,"$19,372,534",PALANTIR TECHNOLOGIES INC.,-3.513394817742647,4.191343963553538
2024-04-29,22.75,23.09,22.545,22.83,30330698.0,0,PALANTIR TECHNOLOGIES INC.,0.3516483516483441,2.4173874473275587
2024-04-26,22.05,22.67,21.91,22.52,33119766.0,0,PALANTIR TECHNOLOGIES INC.,2.131519274376412,3.4687357371063516
2024-04-25,20.82,21.7399,20.66,21.71,26226705.0,0,PALANTIR TECHNOLOGIES INC.,4.274735830931799,5.227008712487892
2024-04-24,22.05,22.25,21.3,21.59,34426476.0,0,PALANTIR TECHNOLOGIES INC.,-2.0861678004535187,4.4600938967136114
2024-04-23,21.25,22.06,21.23,21.64,36304634.0,0,PALANTIR TECHNOLOGIES INC.,1.8352941176470614,3.9095619406500153
2024-04-22,20.72,21.08,20.36,20.97,31894517.0,0,PALANTIR TECHNOLOGIES INC.,1.2065637065637065,3.5363457760314283
2024-04-19,20.98,21.43,20.33,20.47,39632591.0,0,PALANTIR TECHNOLOGIES INC.,-2.430886558627271,5.410723069355639
2024-04-18,21.25,21.43,20.7,21.13,34550542.0,0,PALANTIR TECHNOLOGIES INC.,-0.5647058823529459,3.5265700483091806
2024-04-17,22.01,22.11,21.22,21.31,30139797.0,0,PALANTIR TECHNOLOGIES INC.,-3.1803725579282274,4.194156456173424
2024-04-16,21.59,21.99,21.27,21.88,33869201.0,0,PALANTIR TECHNOLOGIES INC.,1.3432144511347806,3.3850493653032387
2024-04-15,22.79,23.13,21.83,21.9,38182078.0,0,PALANTIR TECHNOLOGIES INC.,-3.9052215884159747,5.955107650022908
2024-04-12,22.7,23.2,22.41,22.67,36764458.0,0,PALANTIR TECHNOLOGIES INC.,-0.1321585903083594,3.5252119589468953
